feature,gain,split
cd24eae8a,0.12207398358461206,52
b1bb8eac3,0.12115498096434447,28
b6c0969a2,0.12036126556595417,24
3a07a8939,0.1198828537978537,34
29c059dd2,0.11915083989943102,40
db3839ab0,0.11871333895491243,41
6f88afe65,0.11758609312868572,33
fc436be29,0.11704021918899982,67
05b0f3e9a,0.11633011628749025,36
aa164b93b,0.11579071965815202,49
8675bec0b,0.11577245461193783,18
1d9078f84,0.11567989822853164,46
04dc93c58,0.115522575660516,15
9a9fc1aba,0.11454241917024847,26
2488e17f5,0.11412020101277487,58
54723be01,0.11310213078655897,50
8f3740670,0.11303129571590927,47
02861e414,0.11073519232288942,28
b9ba17eb6,0.10997485761676544,33
beb7f98fd,0.10989831420452215,27
ad009c8b9,0.10895530631443638,29
191e21b5f,0.107798576937255,30
949ed0965,0.10754495445636786,45
eae884486,0.10686447340195078,71
802ee804e,0.10675333758614841,44
186b87c05,0.10449357720003591,6
6eaea198c,0.10353046347149124,45
5a1589f1a,0.10221315311336918,45
0dc333fa1,0.10185821015565029,13
5e645a169,0.10151945396909086,17
1af4d24fa,0.10138590805592734,51
542f770e5,0.10092553553494028,48
d48c08bda,0.10027470992513161,34
330006bce,0.09999290147324734,58
23db7d793,0.0999053243354955,34
b6daeae32,0.09925964589801527,45
1beb0ce65,0.0989401580908714,28
b10f15193,0.09873284094118778,54
1010d7174,0.09872764276048497,40
1e9bdf471,0.09612059538689759,32
5b943716b,0.09525523251128547,49
2c6c62b54,0.0930908247785267,48
b0e45a9f7,0.09298150459692825,7
6b795a2bc,0.09211038214599775,16
c10f31664,0.09108002254979758,28
1b681c3f0,0.09086225373649469,17
2cb73ede7,0.09037242067262885,47
5547d6e11,0.08896137803225457,48
30b3daec2,0.08895414481129665,38
402bb0761,0.0888085268552916,42
d4e8dd865,0.08819951695255081,49
a75d400b8,0.08767279388522736,32
95742c2bf,0.08754831110347995,22
227ac0d56,0.0854226726830754,45
fd99c18b5,0.08542203156719236,29
ba4ceabc5,0.08525433073077139,26
