"","Feature","Gain","Cover","Frequency"
"33","190db8488",0.00504048626279734,0.00405795628245087,0.0062029655018255
"34","ced6a7e91",0.00500350920660834,0.00438272107657834,0.00355785708963565
"35","2ec5b290f",0.00499900800234811,0.00311627188861079,0.00489903881976008
"36","2e103d632",0.004961021298329,0.00263703549699303,0.00236569555174726
"37","70feb1494",0.00480947025254536,0.00287090666187998,0.00508531406005514
"38","62e59a501",0.00466649362216539,0.00310259871223846,0.0052715893003502
"39","fc99f9426",0.0046207569524136,0.00366494837347746,0.00540198196855674
"40","fb49e4212",0.00445046412349892,0.00379368493530401,0.00573727740108785
"41","2288333b4",0.00427301333844321,0.00359787154528055,0.00346471946948812
"42","23310aa6f",0.0042527849302456,0.00277511769788888,0.00489903881976008
"43","963a49cdc",0.00422620191058191,0.00232910512989188,0.00363236718575367
"44","241f0f867",0.00401890172379287,0.00298867092167936,0.00488041129573057
"45","91f701ba2",0.00401006533547323,0.00337824135421349,0.00566276730496982
"46","d6bb78916",0.0038725324107332,0.00411616319376427,0.00532747187243872
"47","0572565c2",0.00385248561502805,0.00232861406182912,0.00428433052678638
"48","adb64ff71",0.00384651321970049,0.00239153215736957,0.00469413605543551
"49","6619d81fc",0.00370588903834501,0.00270951407388024,0.00482452872364205
"50","c928b4b74",0.00356498495475708,0.00314291233101523,0.00268236346024886
"51","e078302ef",0.00348561898300424,0.00238663682261899,0.0021794203114522
"52","0ff32eb98",0.0034662857054692,0.00251325565342491,0.00432158557484539
"53","f514fdb2e",0.00333963505684673,0.00190651037013749,0.00158333954250801
"54","e222309b0",0.00312578484319971,0.00210028275852512,0.00199314507115714
"55","0c9462c08",0.00304280720943975,0.00220796477716106,0.00201177259518665
"56","13ee58af1",0.00295359378772069,0.00192411209101185,0.00203040011921615
"57","342e7eb03",0.00286752697284358,0.0023611166292327,0.0024774606959243
"58","29ab304b9",0.00280584081338417,0.00243488425978464,0.0024774606959243
"59","edc84139a",0.00279730996279809,0.00267830056014139,0.00225393040757023
"60","bb1113dbb",0.00276076266748807,0.0018600890923302,0.00149020192236048
"61","4da206d28",0.00273563474222743,0.00187993131124089,0.00199314507115714
"62","8e4d0fe45",0.00271820632380603,0.00183532084691501,0.00173235973474406
"63","63c094ba4",0.00268171586136175,0.00213330708574538,0.0021794203114522
"64","b98f3e0d7",0.00266684110321771,0.00165686364373454,0.00171373221071455
"65","b30e932ba",0.00263216649728918,0.00149806450894122,0.00135980925415394
"66","9306da53f",0.00261927992396078,0.00114968241017065,0.00130392668206542
"67","aa164b93b",0.0026155163799175,0.00226314855071313,0.00236569555174726
"68","0dc4d6c7d",0.00260536355935875,0.0015732746519275,0.00197451754712764
"69","1184df5c2",0.00259692522428171,0.00229736985633635,0.00236569555174726
"70","6c0e0801a",0.00258149936972036,0.00198693811129054,0.00201177259518665
"71","bc70cbc26",0.00251462663339669,0.00228320561190127,0.0024774606959243
"72","6cf7866c1",0.00249343427175991,0.00201922583641667,0.00206765516727517
"73","fb387ea33",0.00245355466216027,0.00211312725754155,0.00193726249906862
"74","8f3740670",0.00241038163887073,0.00212222736257948,0.00208628269130467
"75","73687e512",0.0023999177904872,0.00248204213968606,0.0021794203114522
"76","a60027bb4",0.00230709666308748,0.000580196916144742,0.00027941286044259
"77","277ef93fc",0.00228015213114283,0.00125065828057459,0.00139706430221295
"78","cd24eae8a",0.00227675219573605,0.0021604692879665,0.00210491021533418
"79","df838756c",0.00226790434133142,0.0024733103356952,0.00180686983086208
"80","ba4ceabc5",0.00226386211616838,0.00225745523036057,0.0012294165859474
"81","83c3779bf",0.00225434059120852,0.00173649339928562,0.00197451754712764
